Code, Routine, Start Time, Stop Time, Description
CL, morning, 2018-02-25T14:25:40-05:00, 2018-02-26T01:46:16-05:00, Put Clothes On, UNFINISHED
B, morning, , 2018-02-26T09:12:01-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-26T09:14:17-05:00, 2018-02-26T09:18:03-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-26T09:18:10-05:00, 2018-02-26T09:21:55-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-26T09:21:58-05:00, 2018-02-26T09:22:59-05:00, Make Bed,
FD, morning, 2018-02-26T09:23:20-05:00, 2018-02-26T11:03:56-05:00, Breakfast and Meds,
BT, morning, 2018-02-26T11:08:19-05:00, 2018-02-26T11:22:34-05:00, Brush Teeth,
SH, morning, 2018-02-26T11:22:38-05:00, 2018-02-26T11:54:25-05:00, Shave and Shower,
CL, morning, 2018-02-26T11:54:31-05:00, 2018-02-26T12:14:34-05:00, Put Clothes On,
EY, morning, , 2018-02-26T12:16:12-05:00, Eye Lubricant Again, finished earlier
B, morning, 2018-02-27T05:06:00-05:00, 2018-02-27T05:08:00-05:00, Get Out of Bed,
T, morning, 2018-02-27T05:08:00-05:00, 2018-02-27T08:23:45-05:00, Calendar and Routine Todo List,
EY, morning, , 2018-02-27T09:57:07-05:00, Morning Eye Lubricant, finished earlier
MB, morning, 2018-02-27T09:57:09-05:00, 2018-02-27T09:57:16-05:00, Make Bed,
FD, morning, 2018-02-27T11:24:34-05:00, 2018-02-27T11:49:22-05:00, Breakfast and Meds, UNFINISHED
B, morning, , 2018-02-28T07:22:52-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-28T07:22:56-05:00, 2018-02-28T11:09:09-05:00, Calendar and Routine Todo List,
FD, morning, 2018-02-28T15:13:37-05:00, 2018-02-28T15:36:41-05:00, Breakfast and Meds, UNFINISHED
SH, morning, 2018-02-28T15:36:52-05:00, 2018-03-01T06:31:33-05:00, Shave and Shower, UNFINISHED
